file_name min_deg max_deg treewidth approx_vc
vc-exact_001.hgr 3 3 3 176
vc-exact_003.hgr 3 3 3 160
vc-exact_005.hgr 3 3 3 168
vc-exact_007.hgr 2 18 18 138
vc-exact_009.hgr 4 15 92 188
vc-exact_011.hgr 6 7 7 106
vc-exact_013.hgr 1 47 33 156
vc-exact_015.hgr 1 8 8 108
vc-exact_017.hgr 4 6 49 126
vc-exact_019.hgr 2 8 53 142
vc-exact_021.hgr 9 9 9 110
vc-exact_023.hgr 5 6 28 126
vc-exact_025.hgr 5 6 85 194
vc-exact_027.hgr 3 4 50 174
vc-exact_029.hgr 4 4 10 134
vc-exact_031.hgr 4 4 10 134
vc-exact_033.hgr 6 8 49 132
vc-exact_035.hgr 7 8 57 170
vc-exact_037.hgr 3 4 4 108
vc-exact_039.hgr 3 4 4 120
vc-exact_041.hgr 3 4 4 132
vc-exact_043.hgr 3 4 4 144
vc-exact_045.hgr 3 4 4 84
vc-exact_047.hgr 1 43 36 184
vc-exact_049.hgr 6 12 44 148
vc-exact_051.hgr 4 4 38 172
vc-exact_053.hgr 3 4 35 146
vc-exact_055.hgr 3 4 42 192
vc-exact_057.hgr 2 4 34 168
vc-exact_059.hgr 3 4 33 148
vc-exact_061.hgr 2 4 49 188
vc-exact_063.hgr 1 256 160 454
vc-exact_065.hgr 1 213 173 372
vc-exact_067.hgr 1 318 243 480
vc-exact_069.hgr 1 318 243 458
vc-exact_071.hgr 1 9401 1 6844
vc-exact_073.hgr 1 8746 1 6496
vc-exact_075.hgr 1 10883 1 7168
vc-exact_077.hgr 2 18 92 186
vc-exact_079.hgr 2 16 87 178
vc-exact_081.hgr 4 22 110 188
vc-exact_083.hgr 2 20 91 180
vc-exact_085.hgr 4 18 99 184
vc-exact_087.hgr 4 21 100 188
vc-exact_089.hgr 3 24 105 186
vc-exact_091.hgr 3 19 95 184
vc-exact_093.hgr 3 18 98 182
vc-exact_095.hgr 3 18 98 187
vc-exact_097.hgr 3 17 96 185
vc-exact_099.hgr 1 17 85 182
vc-exact_101.hgr 3 19 97 183
vc-exact_103.hgr 1 16 85 181
vc-exact_105.hgr 2 16 88 182
vc-exact_107.hgr 2 18 92 178
vc-exact_109.hgr 1 15 80 176
vc-exact_111.hgr 2 20 84 180
vc-exact_113.hgr 2 16 85 182
vc-exact_115.hgr 1 15595 1 10112
vc-exact_117.hgr 1 14902 1 10222
vc-exact_119.hgr 1 13984 1 9940
vc-exact_121.hgr 3 21 94 184
vc-exact_123.hgr 3 22 105 184
vc-exact_125.hgr 2 19 96 186
vc-exact_127.hgr 3 18 89 188
vc-exact_129.hgr 2 21 98 186
vc-exact_131.hgr 3 17 94 184
vc-exact_133.hgr 4 24 101 192
vc-exact_135.hgr 3 22 98 192
vc-exact_137.hgr 3 20 96 180
vc-exact_139.hgr 2 20 102 190
vc-exact_141.hgr 1 21 101 186
vc-exact_143.hgr 3 21 98 184
vc-exact_145.hgr 3 21 100 180
vc-exact_147.hgr 1 28666 1 21008
vc-exact_149.hgr 1 27886 1 20200
vc-exact_151.hgr 1 28863 1 20402
vc-exact_153.hgr 1 32570 1 22422
vc-exact_155.hgr 1 34052 1 23296
vc-exact_157.hgr 1 32026 1 21836
vc-exact_159.hgr 1 35676 1 24168
vc-exact_161.hgr 1 39005 1 26862
vc-exact_163.hgr 1 38800 1 25680
vc-exact_165.hgr 1 36239 1 26676
vc-exact_167.hgr 48 110 365 450
vc-exact_169.hgr 100 265 1377 1534
vc-exact_171.hgr 98 274 1336 1534
vc-exact_173.hgr 71 204 1044 1148
vc-exact_175.hgr 135 446 3695 4000
vc-exact_177.hgr 1 44 41 21080
vc-exact_179.hgr 1 111 365 17763
vc-exact_181.hgr 1 11 3 56
vc-exact_183.hgr 1 3 1 40
vc-exact_185.hgr 1 13 16 334
vc-exact_187.hgr 1 14 35 2984
vc-exact_189.hgr 1 11 45 8286
vc-exact_191.hgr 1 28 40 10478
vc-exact_193.hgr 1 15 18 1296
vc-exact_195.hgr 1 28 48 10785
vc-exact_197.hgr 1 14 23 1586
vc-exact_199.hgr 1 9 6 354
