file_name num_vertices num_edges min_deg max_deg treewidth approx_vc
vc-exact_001.hgr 176 264 3 3 3 176
vc-exact_003.hgr 160 240 3 3 3 160
vc-exact_005.hgr 168 252 3 3 3 168
vc-exact_007.hgr 147 1255 2 18 18 138
vc-exact_009.hgr 200 812 4 15 92 188
vc-exact_011.hgr 113 371 6 7 7 106
vc-exact_013.hgr 155 1396 2 47 33 144
vc-exact_015.hgr 118 289 2 8 8 106
vc-exact_017.hgr 135 403 4 6 49 126
vc-exact_019.hgr 149 492 2 8 53 142
vc-exact_021.hgr 110 495 9 9 9 110
vc-exact_023.hgr 140 385 5 6 28 126
vc-exact_025.hgr 210 625 5 6 85 194
vc-exact_027.hgr 190 379 3 4 50 174
vc-exact_029.hgr 150 300 4 4 10 134
vc-exact_031.hgr 150 300 4 4 10 134
vc-exact_033.hgr 140 546 6 8 49 132
vc-exact_035.hgr 180 713 7 8 57 170
vc-exact_037.hgr 109 166 3 4 4 108
vc-exact_039.hgr 121 184 3 4 4 120
vc-exact_041.hgr 133 202 3 4 4 132
vc-exact_043.hgr 145 220 3 4 4 144
vc-exact_045.hgr 85 130 3 4 4 84
vc-exact_047.hgr 199 1327 2 43 36 178
vc-exact_049.hgr 153 802 6 12 44 148
vc-exact_051.hgr 192 384 4 4 38 172
vc-exact_053.hgr 166 331 3 4 35 146
vc-exact_055.hgr 214 427 3 4 42 192
vc-exact_057.hgr 190 378 2 4 34 168
vc-exact_059.hgr 166 330 3 4 33 148
vc-exact_061.hgr 214 426 2 4 49 188
vc-exact_063.hgr 465 17113 2 253 160 434
vc-exact_065.hgr 372 18135 2 210 173 360
vc-exact_067.hgr 480 34458 2 318 243 476
vc-exact_069.hgr 455 33878 2 318 243 444
vc-exact_077.hgr 200 860 2 18 92 186
vc-exact_079.hgr 200 804 2 16 87 178
vc-exact_081.hgr 200 1166 4 22 110 188
vc-exact_083.hgr 200 969 2 20 91 180
vc-exact_085.hgr 200 1020 4 18 99 184
vc-exact_087.hgr 200 1031 4 21 100 188
vc-exact_089.hgr 200 1165 3 24 105 186
vc-exact_091.hgr 200 946 3 19 95 184
vc-exact_093.hgr 200 993 3 18 98 182
vc-exact_095.hgr 200 959 3 18 98 187
vc-exact_097.hgr 200 969 3 17 96 185
vc-exact_099.hgr 195 798 3 17 85 180
vc-exact_101.hgr 200 957 3 19 97 183
vc-exact_103.hgr 198 794 2 16 85 179
vc-exact_105.hgr 198 811 2 16 88 182
vc-exact_107.hgr 200 866 2 18 92 178
vc-exact_109.hgr 194 710 2 15 76 172
vc-exact_111.hgr 200 806 2 20 84 180
vc-exact_113.hgr 200 801 2 16 85 182
vc-exact_121.hgr 200 965 3 21 94 184
vc-exact_123.hgr 200 1123 3 22 105 184
vc-exact_125.hgr 200 937 2 19 96 186
vc-exact_127.hgr 199 875 3 18 89 188
vc-exact_129.hgr 200 1027 2 21 98 186
vc-exact_131.hgr 200 1009 3 17 94 184
vc-exact_133.hgr 200 1104 4 24 101 192
vc-exact_135.hgr 200 1025 3 22 98 192
vc-exact_137.hgr 200 963 3 20 96 180
vc-exact_139.hgr 199 1095 2 20 102 190
vc-exact_141.hgr 198 1083 4 21 103 186
vc-exact_143.hgr 200 1020 3 21 98 184
vc-exact_145.hgr 200 1081 3 21 100 180
vc-exact_167.hgr 450 17831 48 110 365 450
vc-exact_169.hgr 1534 126163 100 265 1377 1534
vc-exact_171.hgr 1534 127011 98 274 1336 1534
vc-exact_173.hgr 1150 81068 71 204 1044 1148
vc-exact_175.hgr 4000 572774 135 446 3695 4000
vc-exact_177.hgr 19620 28608 2 41 42 17610
vc-exact_179.hgr 17988 37146 2 72 346 15723
vc-exact_181.hgr 30 46 2 8 3 26
vc-exact_185.hgr 116 148 2 9 3 106
vc-exact_187.hgr 2124 3006 2 13 12 1897
vc-exact_189.hgr 5355 6127 2 10 31 5066
vc-exact_191.hgr 10416 16710 2 24 25 8917
vc-exact_193.hgr 517 661 2 9 5 450
vc-exact_195.hgr 10883 17519 2 24 29 9382
vc-exact_197.hgr 1558 2256 2 13 24 1366
vc-exact_199.hgr 180 232 2 8 4 146
